text,aspect_term,polarity
Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,positive
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,positive
I also ordered for delivery and the restaurant forgot half the order.,delivery,negative
I also ordered for delivery and the restaurant forgot half the order.,order,negative
Our server checked on us maybe twice during the entire meal.,server,negative
Our server checked on us maybe twice during the entire meal.,meal,neutral
The strong scents coming from the left and right of me negatively affected my taste buds.,scents,negative
We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,positive
Had we been stalling I could understand where they were coming from[comma] but we had been there less than an hour and they hadn't even brought us a check yet!,check,negative
Though the Spider Roll may look like a challenge to eat[comma] with soft shell crab hanging out of the roll[comma] it is well worth the price you pay for them.,price,positive
Though the Spider Roll may look like a challenge to eat[comma] with soft shell crab hanging out of the roll[comma] it is well worth the price you pay for them.,shell crab,positive
Deep Fried Skewers are good and still rare to find in NYC.,Deep Fried Skewers,positive
I have tried to make reservations[comma] but both times[comma] the hostess didn't have my name.,reservations,neutral
I have tried to make reservations[comma] but both times[comma] the hostess didn't have my name.,hostess,negative
I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,positive
I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),positive
Their tuna tartar appetizer is to die for.,tuna tartar appetizer,positive
An oasis of refinement:  Food[comma] though somewhat uneven[comma] often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.,chef,positive
An oasis of refinement:  Food[comma] though somewhat uneven[comma] often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.,fish dishes,positive
An oasis of refinement:  Food[comma] though somewhat uneven[comma] often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.,soups,positive
An oasis of refinement:  Food[comma] though somewhat uneven[comma] often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.,kitchen,positive
An oasis of refinement:  Food[comma] though somewhat uneven[comma] often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.,cuisine,positive
If you love wine and cheese and delicious french fare[comma] you'll love Artisanal!,wine,positive
If you love wine and cheese and delicious french fare[comma] you'll love Artisanal!,french fare,positive
If you love wine and cheese and delicious french fare[comma] you'll love Artisanal!,cheese,positive
I love Indian food and consider myself to be quite an expert on it.,Indian food,positive
Some baby pizzas get their wish.,baby pizzas,neutral
Overall A oh ya even though there is waiting it is deff worth it,waiting,negative
The lava cake dessert was incredible and I recommend it.,lava cake dessert,positive
VT is what baby pizzas hope to be when they grow up.,baby pizzas,neutral
From the terrible service[comma] to the bland food[comma] not to mention the unaccommodating managers[comma] the overall experience was horrible.,service,negative
From the terrible service[comma] to the bland food[comma] not to mention the unaccommodating managers[comma] the overall experience was horrible.,food,negative
From the terrible service[comma] to the bland food[comma] not to mention the unaccommodating managers[comma] the overall experience was horrible.,managers,negative
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive
The last time I went we were seated at a table in a corridor next to the kitchen.,table,negative
good selection of wines ranging from affordable to high end.,selection of wines,positive
Nice restaurant overall[comma] with classic upscale Italian decor.,Italian decor,positive
Not impressed with the food.,food,negative
The entire dining experience was wonderful!,dining experience,positive
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,wine selection,positive
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,reservation,neutral
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,Service,positive
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre,positive
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,negative
Order the panang duck[comma] it's fantastic.,panang duck,positive
Food is usually very good[comma] though ocasionally I wondered about freshmess of raw vegatables in side orders.,raw vegatables,negative
Other than the crappy service from two individuals[comma] it's great.,service,negative
They have authentic Indian at amazin prices.,Indian,positive
They have authentic Indian at amazin prices.,prices,positive
Ambiance- relaxed and stylish.,Ambiance,positive
Luckily we saved room for the BBQ Salmon[comma] Sea Bass and Crispy Duck.,BBQ Salmon,positive
Luckily we saved room for the BBQ Salmon[comma] Sea Bass and Crispy Duck.,Sea Bass,positive
Luckily we saved room for the BBQ Salmon[comma] Sea Bass and Crispy Duck.,Crispy Duck,positive
Yes[comma] they use fancy ingredients[comma] but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.,ingredients,positive
Yes[comma] they use fancy ingredients[comma] but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.,ingredients,positive
Yes[comma] they use fancy ingredients[comma] but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.,pizza,negative
Yes[comma] they use fancy ingredients[comma] but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.,crust,neutral
and yes Dal Bukhara is so dam good and so are all the kababs.,kababs,positive
and yes Dal Bukhara is so dam good and so are all the kababs.,Dal Bukhara,positive
I look forward to eating here again,eating,positive
I've been coming here as a child and always come back for the taste.,taste,positive
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal,positive
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,positive
A glass of Leaping Lizard[comma] a glass of prosecco[comma] and the mussels had everything happy.,glass of prosecco,positive
A glass of Leaping Lizard[comma] a glass of prosecco[comma] and the mussels had everything happy.,mussels,positive
A glass of Leaping Lizard[comma] a glass of prosecco[comma] and the mussels had everything happy.,glass of Leaping Lizard,positive
Food was average and creme brulee was awful - the sugar was charred[comma] not caramelized and smelled of kerosene.,Food,neutral
Food was average and creme brulee was awful - the sugar was charred[comma] not caramelized and smelled of kerosene.,creme brulee,negative
Food was average and creme brulee was awful - the sugar was charred[comma] not caramelized and smelled of kerosene.,sugar,negative
The food always tastes fresh and served promptly.,food,positive
The food always tastes fresh and served promptly.,served,positive
The pizza here is delicious.,pizza,positive
Pizza and garlic knots are great as well[comma] I order from them quite often and the delivery is always super quick!,Pizza,positive
Pizza and garlic knots are great as well[comma] I order from them quite often and the delivery is always super quick!,delivery,positive
Pizza and garlic knots are great as well[comma] I order from them quite often and the delivery is always super quick!,garlic knots,positive
For great chinese food nearby[comma] you have Wu Liang Ye and Grand Sichuan just a block away.,chinese food,positive
But who says Murray's is anything about service.,service,neutral
This place is really trendi but they have forgotten about the most important part of a  restaurant[comma] the food.,food,negative
Hats off to the chef.,chef,positive
Service could be improved but overall this is a place that understands the importance of little things (the heavy[comma] black[comma] antique-seeming teapot[comma] for one) in the restaurant experience.,Service,negative
Service could be improved but overall this is a place that understands the importance of little things (the heavy[comma] black[comma] antique-seeming teapot[comma] for one) in the restaurant experience.,teapot,positive
The pizza is delicious - they use fresh mozzarella instead of the cheap[comma] frozen[comma] shredded cheese common to most pizzaria's.,pizza,positive
The pizza is delicious - they use fresh mozzarella instead of the cheap[comma] frozen[comma] shredded cheese common to most pizzaria's.,fresh mozzarella,positive
The pizza is delicious - they use fresh mozzarella instead of the cheap[comma] frozen[comma] shredded cheese common to most pizzaria's.,cheese,negative
Its an excellent place to relax and the food is one of the best in the city of New York.,place,positive
Its an excellent place to relax and the food is one of the best in the city of New York.,food,positive
service is friendly[comma] and never had a problem walking in and getting a table.,service,positive
service is friendly[comma] and never had a problem walking in and getting a table.,getting a table,positive
The atmosphere was crowded but it was a great bistro-type vibe.,bistro-type vibe,positive
First off[comma] the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.,waitress,negative
First off[comma] the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.,tables,neutral
The food was bland oily.,food,negative
What is even better[comma] is that the prices are very affordable as well[comma] and the food is really good.,prices,positive
What is even better[comma] is that the prices are very affordable as well[comma] and the food is really good.,food,positive
The fish is fresh but the variety of fish is nothing out of ordinary.,fish,positive
The fish is fresh but the variety of fish is nothing out of ordinary.,variety of fish,negative
Our favorite meal is a pesto pizza[comma] the house salad[comma] and a good bottle of wine.,pesto pizza,positive
Our favorite meal is a pesto pizza[comma] the house salad[comma] and a good bottle of wine.,house salad,positive
Our favorite meal is a pesto pizza[comma] the house salad[comma] and a good bottle of wine.,bottle of wine,positive
Our favorite meal is a pesto pizza[comma] the house salad[comma] and a good bottle of wine.,meal,positive
And Kruno[comma] the beverage manager is the best bartender I have yet to come across.,bartender,positive
And Kruno[comma] the beverage manager is the best bartender I have yet to come across.,beverage manager,positive
Ambiance and music funky[comma] which I enjoy.,Ambiance,positive
Ambiance and music funky[comma] which I enjoy.,music,positive
The food[comma] drinks and service are clearly among the best in the city.,food,positive
The food[comma] drinks and service are clearly among the best in the city.,drinks,positive
The food[comma] drinks and service are clearly among the best in the city.,service,positive
I went there in late afternoon for some bite size food and refleshment with my date.,food,neutral
I went there in late afternoon for some bite size food and refleshment with my date.,refleshment,neutral
I understand the area and folks you need not come here for the romantic[comma] alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods[comma] the tastes[comma] the experiance.,ambiance,positive
I understand the area and folks you need not come here for the romantic[comma] alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods[comma] the tastes[comma] the experiance.,service,positive
I understand the area and folks you need not come here for the romantic[comma] alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods[comma] the tastes[comma] the experiance.,foods,positive
I understand the area and folks you need not come here for the romantic[comma] alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods[comma] the tastes[comma] the experiance.,tastes,positive
I understand the area and folks you need not come here for the romantic[comma] alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods[comma] the tastes[comma] the experiance.,sommlier,positive
I understand the area and folks you need not come here for the romantic[comma] alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods[comma] the tastes[comma] the experiance.,captain,positive
I understand the area and folks you need not come here for the romantic[comma] alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods[comma] the tastes[comma] the experiance.,back waiters,positive
Last time I went here[comma] the waitress didn't come back after taking our order.,waitress,negative
Try the tandoori salmon!,tandoori salmon,positive
Eating in[comma] the atmosphere saves it[comma] but at your desk[comma] it's a very disappointing experience.,atmosphere,positive
Granted the space is smaller than most[comma] it is the best service you will find in even the largest of restaurants.,space,negative
Granted the space is smaller than most[comma] it is the best service you will find in even the largest of restaurants.,service,positive
I love the atmorphere @ peep!,atmorphere,positive
The service was attentive and her suggestions of menu items was right on the mark.,service,positive
The service was attentive and her suggestions of menu items was right on the mark.,menu items,positive
The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,three course meal,positive
Even after getting pushed out by the no-class Famous Ray's[comma] Sal has risen again to carry on his father's uncle's legacies with a smile[comma] true love for his community[comma] and let's not forget the Outstanding Pizza!,Pizza,positive
The environment is romantic[comma] but the food is horrible[comma] the service is pathetic[comma] and gabriella lies about everything she could.,environment,positive
The environment is romantic[comma] but the food is horrible[comma] the service is pathetic[comma] and gabriella lies about everything she could.,food,negative
The environment is romantic[comma] but the food is horrible[comma] the service is pathetic[comma] and gabriella lies about everything she could.,service,negative
We had crawfish boiled and despite making a mess[comma] it was a ton of fun and quite tasty as well.,crawfish boiled,positive
I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,neutral
What came to our table was burned beyond recognition and stringy.,table,neutral
I had the Pad Thai and the noodles were sticky.,Pad Thai,negative
I had the Pad Thai and the noodles were sticky.,noodles,negative
So I've never actually been to M proper[comma] but I've had it delivered a few times.,delivered,neutral
Among all of the new 5th avenue restaurants[comma] this offers by far one of the best values for your money.,values for your money,positive
Frankly[comma] when you compare what you can have here for lunch[comma] versus McDs or so many other sandwich shops in the city[comma] there is no comparison.,lunch,positive
The hostess is rude to the point of being offensive.,hostess,negative
If you're craving for Haru's great food[comma] especially the House Roll[comma] but can't stand the wait building outisde[comma] head across the street to their Sake Bar!,food,positive
If you're craving for Haru's great food[comma] especially the House Roll[comma] but can't stand the wait building outisde[comma] head across the street to their Sake Bar!,wait building,negative
A narrow corridor leads to a tiny space where there are three tiny white tiled counters[comma] a great deal of mess (stacks of bottles[comma] cans) and a small counter holding 12-14 entrees.,corridor,negative
A narrow corridor leads to a tiny space where there are three tiny white tiled counters[comma] a great deal of mess (stacks of bottles[comma] cans) and a small counter holding 12-14 entrees.,space,negative
A narrow corridor leads to a tiny space where there are three tiny white tiled counters[comma] a great deal of mess (stacks of bottles[comma] cans) and a small counter holding 12-14 entrees.,counters,negative
A narrow corridor leads to a tiny space where there are three tiny white tiled counters[comma] a great deal of mess (stacks of bottles[comma] cans) and a small counter holding 12-14 entrees.,counter,negative
A narrow corridor leads to a tiny space where there are three tiny white tiled counters[comma] a great deal of mess (stacks of bottles[comma] cans) and a small counter holding 12-14 entrees.,entrees,neutral
The food is great.,food,positive
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,steaks,positive
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,salads,positive
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,sides,positive
Lunch came with pickels and slaw[comma] no extra charge.,Lunch,positive
Lunch came with pickels and slaw[comma] no extra charge.,pickels and slaw,neutral
Decent wine at reasonable prices.,wine,positive
Decent wine at reasonable prices.,prices,positive
All conveniently delivered right to the door.,delivered,positive
even the wine by the glass was good.,wine by the glass,positive
would have rather tried terrace in the sky or water club for that price,price,negative
This dish is my favorite and I always get it when I go there and never get tired of it.,dish,positive
I also ordered the Change Mojito[comma] which was out of this world.,Change Mojito,positive
Okay service.,service,neutral
The only thing more wonderful than the food (which is exceptional) is the service.,food,positive
The only thing more wonderful than the food (which is exceptional) is the service.,service,positive
The food was just awful[comma] ATROCIOUS actually.,food,negative
The soup for the udon was soy sauce and water.,soup for the udon,negative
The soup for the udon was soy sauce and water.,soy sauce,neutral
The soup for the udon was soy sauce and water.,water,neutral
The anti-pasta was excellent[comma] especially the calamari[comma] as were the filling pasta mains.,anti-pasta,positive
The anti-pasta was excellent[comma] especially the calamari[comma] as were the filling pasta mains.,calamari,positive
The anti-pasta was excellent[comma] especially the calamari[comma] as were the filling pasta mains.,filling pasta mains,positive
The waitress suggested glasses of wine that went very well with the food.,waitress,positive
The waitress suggested glasses of wine that went very well with the food.,food,neutral
The waitress suggested glasses of wine that went very well with the food.,glasses of wine,positive
They might be all business at the counter when you give your order[comma] but their food says I love you.,food,positive
They might be all business at the counter when you give your order[comma] but their food says I love you.,counter,negative
We are very particular about sushi and were both please with every choice which included: ceviche mix (special)[comma] crab dumplings[comma] assorted sashimi[comma] sushi and rolls[comma] two types of sake[comma] and the banana tempura.,sushi,positive
We are very particular about sushi and were both please with every choice which included: ceviche mix (special)[comma] crab dumplings[comma] assorted sashimi[comma] sushi and rolls[comma] two types of sake[comma] and the banana tempura.,ceviche mix (special),positive
We are very particular about sushi and were both please with every choice which included: ceviche mix (special)[comma] crab dumplings[comma] assorted sashimi[comma] sushi and rolls[comma] two types of sake[comma] and the banana tempura.,crab dumplings,positive
We are very particular about sushi and were both please with every choice which included: ceviche mix (special)[comma] crab dumplings[comma] assorted sashimi[comma] sushi and rolls[comma] two types of sake[comma] and the banana tempura.,assorted sashimi,positive
We are very particular about sushi and were both please with every choice which included: ceviche mix (special)[comma] crab dumplings[comma] assorted sashimi[comma] sushi and rolls[comma] two types of sake[comma] and the banana tempura.,sushi,positive
We are very particular about sushi and were both please with every choice which included: ceviche mix (special)[comma] crab dumplings[comma] assorted sashimi[comma] sushi and rolls[comma] two types of sake[comma] and the banana tempura.,rolls,positive
We are very particular about sushi and were both please with every choice which included: ceviche mix (special)[comma] crab dumplings[comma] assorted sashimi[comma] sushi and rolls[comma] two types of sake[comma] and the banana tempura.,sake,positive
We are very particular about sushi and were both please with every choice which included: ceviche mix (special)[comma] crab dumplings[comma] assorted sashimi[comma] sushi and rolls[comma] two types of sake[comma] and the banana tempura.,banana tempura,positive
Try their plain pizza with fresh garlic or eggplant.,plain pizza,positive
Try their plain pizza with fresh garlic or eggplant.,garlic,positive
Try their plain pizza with fresh garlic or eggplant.,eggplant,positive
Ok[comma] so the servers wander around a little clueless[comma] but there's more than enough servers for the crowd they get -- it's fine[comma] you just have to make a small effort to get their attention.,servers,negative
Good luck getting a table.,getting a table,negative
The service is awful.,service,negative
The takeout menu says to keep an eye out for an expanded menu offering more italian dishes[comma] I can't wait!,takeout menu,positive
The takeout menu says to keep an eye out for an expanded menu offering more italian dishes[comma] I can't wait!,menu,positive
The takeout menu says to keep an eye out for an expanded menu offering more italian dishes[comma] I can't wait!,italian dishes,positive
I am not the most experienced person when it comes to Thai food[comma] but my friend who took me there is.,Thai food,neutral
Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,hostess,positive
The pizza is good though.,pizza,positive
bottles of wine are cheap and good.,bottles of wine,positive
The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious[comma] if I must recommend a dish it must be the pumkin tortelini.,beers,positive
